,pca_m0,proba
579,-0.008419999999999999,0.9119233
580,-0.0084,0.9112908
581,-0.00838,0.91065395
582,-0.00836,0.9100129
583,-0.00834,0.9093673
584,-0.00832,0.90871745
585,-0.0083,0.908063
586,-0.00828,0.90740407
587,-0.00826,0.9067408
588,-0.008239999999999999,0.906073
589,-0.00822,0.9054005
590,-0.008199999999999999,0.9047236
591,-0.00818,0.90404195
592,-0.008159999999999999,0.9033557
593,-0.00814,0.9026648
594,-0.008119999999999999,0.9019694
595,-0.0081,0.9012691
596,-0.008079999999999999,0.90056396
597,-0.00806,0.8998543
598,-0.00804,0.8991395
599,-0.00802,0.8984203
600,-0.008,0.897696
601,-0.00798,0.8969668
602,-0.00796,0.8962327
603,-0.00794,0.8954937
604,-0.00792,0.8947498
605,-0.007899999999999999,0.89400077
606,-0.00788,0.89324677
607,-0.007859999999999999,0.89248765
608,-0.00784,0.89172345
609,-0.007819999999999999,0.89095426
610,-0.0078,0.8901799
611,-0.007779999999999999,0.8894002
612,-0.0077599999999999995,0.88861537
613,-0.007739999999999999,0.8878252
614,-0.007719999999999999,0.88703
615,-0.0077,0.88622934
616,-0.007679999999999999,0.8854233
617,-0.00766,0.8846121
618,-0.007639999999999999,0.8837953
619,-0.00762,0.88297325
620,-0.007599999999999999,0.8821456
621,-0.00758,0.8813125
622,-0.007559999999999999,0.88047385
623,-0.00754,0.87962973
624,-0.007519999999999999,0.8787801
625,-0.0075,0.8779246
626,-0.007479999999999999,0.8770637
627,-0.00746,0.8761971
628,-0.007439999999999999,0.8753247
629,-0.0074199999999999995,0.87444675
630,-0.007399999999999999,0.8735628
631,-0.007379999999999999,0.8726732
632,-0.00736,0.8717776
633,-0.007339999999999999,0.87087625
634,-0.00732,0.869969
635,-0.007299999999999999,0.8690558
636,-0.00728,0.86813664
637,-0.007259999999999999,0.86721146
638,-0.00724,0.8662804
639,-0.007219999999999999,0.8653431
640,-0.0072,0.8643997
641,-0.007179999999999999,0.86345035
642,-0.00716,0.8624946
643,-0.007139999999999999,0.86153287
644,-0.00712,0.8605649
645,-0.007099999999999999,0.85959065
646,-0.0070799999999999995,0.85861003
647,-0.007059999999999999,0.8576231
648,-0.007039999999999999,0.85662985
649,-0.00702,0.8556302
650,-0.006999999999999999,0.85462403
651,-0.00698,0.85361147
652,-0.006959999999999999,0.8525925
653,-0.00694,0.8515669
654,-0.006919999999999999,0.8505348
655,-0.0069,0.849496
656,-0.006879999999999999,0.84845066
657,-0.00686,0.8473987
658,-0.006839999999999999,0.8463398
659,-0.00682,0.84527445
660,-0.006799999999999999,0.8442024
661,-0.00678,0.8431232
662,-0.006759999999999999,0.8420373
663,-0.0067399999999999995,0.8409447
664,-0.0067199999999999985,0.839845
665,-0.006699999999999999,0.8387385
666,-0.00668,0.83762485
667,-0.006659999999999999,0.8365044
668,-0.00664,0.83537674
669,-0.006619999999999999,0.83424217
670,-0.0066,0.83310044
671,-0.006579999999999999,0.83195156
672,-0.00656,0.83079535
673,-0.006539999999999999,0.82963204
674,-0.00652,0.8284615
675,-0.006499999999999999,0.8272836
676,-0.00648,0.8260984
677,-0.006459999999999999,0.82490593
678,-0.0064399999999999995,0.823706
679,-0.006419999999999999,0.82249856
680,-0.0063999999999999994,0.8212838
681,-0.0063799999999999985,0.82006156
682,-0.006359999999999999,0.81883174
683,-0.00634,0.8175943
684,-0.006319999999999999,0.81634927
685,-0.0063,0.8150967
686,-0.006279999999999999,0.8138363
687,-0.00626,0.8125684
688,-0.006239999999999999,0.8112924
689,-0.00622,0.81000906
690,-0.006199999999999999,0.80871767
691,-0.00618,0.80741864
692,-0.006159999999999999,0.8061115
693,-0.00614,0.8047965
694,-0.006119999999999999,0.8034735
695,-0.0060999999999999995,0.8021426
696,-0.006079999999999999,0.8008037
697,-0.006059999999999999,0.79945666
698,-0.0060399999999999985,0.7981016
699,-0.006019999999999999,0.79673845
700,-0.006,0.7953669
701,-0.005979999999999999,0.7939876
702,-0.00596,0.7925996
703,-0.005939999999999999,0.7912037
704,-0.00592,0.78979915
